Vendor,Report Period,TSC,CUEC,ACME Mapping,Status,Notes
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Enable and enforce the use of two-step verification on privileged administrator accounts,AC-03 / Access Control Policy §2 (MFA),Pending,Verify Workspace MFA is enforced for all users with any {{CLOUD_PROVIDER}} role
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Establish procedures to allocate the initial password to access {{CLOUD_PROVIDER}} to end-users when {{CLOUD_PROVIDER}} password authentication is used,Onboarding runbook,N/A,All access via Workspace SSO; no standalone {{CLOUD_PROVIDER}} passwords
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Configure {{CLOUD_PROVIDER}} Marketplace permissions in {{CLOUD_PROVIDER}} consistent with customer's internal policies,Access Control Policy / Procurement,Pending,Restrict Marketplace deploys to {{SECURITY_OWNER}}; document
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Restrict access to and monitor the use of Application Programming Interfaces (APIs) available in {{CLOUD_PROVIDER}},Access Control Policy §7 / API inventory,Pending,Enumerate enabled {{CLOUD_PROVIDER}} APIs; disable unused services
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Configure domain settings related to integration with other systems within the customer's environment consistent with customer policies,Network/integration design docs,Pending,Workspace domain settings reviewed
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Ensure that user data is exported and deleted from {{CLOUD_PROVIDER}} before or within a reasonable amount of time after termination,Data Retention Policy / off-boarding runbook,Pending,Add {{CLOUD_PROVIDER}} Storage bucket and project teardown to off-boarding checklist
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.7, CC 6.8",Ensure appropriate physical security controls over all devices that access {{CLOUD_PROVIDER}},Endpoint Security Policy / MDM,Pending,Confirm MDM enforced disk encryption and screen lock on all workstations
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.7, CC 6.8",Ensure any devices that access {{CLOUD_PROVIDER}} or contain customer data are properly handled secured and transported as defined by the products requirements,Endpoint Security Policy,Pending,Covered by MDM and Acceptable Use Policy
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 7.1,Configure {{CLOUD_PROVIDER}} mobile device options consistent with customer policies and procedures,Endpoint Security Policy,N/A,No mobile-specific {{CLOUD_PROVIDER}} integrations in use
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 7.1,Configure data storage locations that support business and operational resiliency requirements,BCP/DR Policy / Data Residency,Pending,Document chosen {{CLOUD_PROVIDER}} regions (US multi-region) in BCP/DR Policy
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 7.1, CC 7.2, CC 7.3",Enable logging and monitoring functionalities to detect administrator activity customer support activity security events system errors and data deletions to support customer incident management processes,IR Policy §1 / Logging and Monitoring Policy,Pending,Enable Cloud Audit Logs (Admin Activity always on; Data Access for {{CLOUD_PROVIDER}} Storage and {{SECRETS_MANAGER}}); ship to retained sink
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 7.1, P 7.1",Consider information security requirements in the deployment configuration and modification of their instance of {{CLOUD_PROVIDER}},Secure SDLC / Threat Modeling,Pending,Threat model exists; refresh with each material {{CLOUD_PROVIDER}} service addition
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 7.1, P 7.1",Establish responsibilities and procedures to respond to relevant information security incidents pertaining to the use of {{CLOUD_PROVIDER}},IR Policy,Confirmed,IR Policy covers {{CLOUD_PROVIDER}} scope
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Ensure that individuals creating and/or updating profiles or changing product configurations are authorized,Change Management Policy / IAM,Pending,IAM roles restrict who can change {{CLOUD_PROVIDER}} project config
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Handle the deployment configuration and modification of default security settings for cloud products including virtual machines in accordance with information security requirements,Hardening standards / IaC baselines,Pending,Cloud Run config baselines in Terraform modules
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Review and test features builds and product releases including Application Programming Interfaces (APIs) to evaluate their impact prior to deploying into production environments as applicable,Change Management Policy / staging environment,Confirmed,Staging environment + CI tests gate prod deploys
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Configure test and/or development environments in their instance of {{CLOUD_PROVIDER}} as applicable and restrict access to data in these environments,Environment Segregation / Access Control Policy,Confirmed,Separate dev/staging/prod {{CLOUD_PROVIDER}} projects; no prod data in lower envs
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Manage and test configurations that support business and operational resiliency objectives and consider {{CLOUD_PROVIDER}} architecture recommendations,BCP/DR Policy / architecture reviews,Pending,Annual DR exercise; review {{CLOUD_PROVIDER}}'s well-architected recommendations
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Train test and deploy AI models that are used in AI-powered applications,AI/ML Governance,Pending,Document model deployment process; out-of-scope for Security TSC but flag for AI risk
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 8.1,Implement any custom code necessary for the deployment of the products and any code in public repositories for customization of their implementations,Secure SDLC / Change Management Policy,Confirmed,All custom code goes through SDLC
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 9.1, CC 9.2",Ensure they have business recovery and backup procedures over their non-{{CLOUD_PROVIDER}} managed information systems that access {{CLOUD_PROVIDER}},BCP/DR Policy §4 / backup-recovery-runbook.md,Pending,Confirm backup of any non-{{CLOUD_PROVIDER}} systems that touch {{CLOUD_PROVIDER}}
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"C 1.1, P 4.1, P 5.2",Ensure that administrators do not send unnecessary employee personal data when escalating support requests to service providers including {{CLOUD_PROVIDER}},Support escalation procedure,Confirmed,Support tickets scrubbed of PII; documented in IR Policy
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"C 1.1, P 4.1, P 5.2",Provide permission or instructions to utilize their data and defining the scope of data for training or fine-tuning AI/ML models,DPA / AI/ML Governance,Pending,Verify {{CLOUD_PROVIDER}} AI/ML training opt-out settings if any in-scope AI used
{{IDP}},2025-03-01 to 2026-02-28,CC1.3,Customers are responsible for assigning responsibilities for the operation and monitoring of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered by Access Control Policy; assign Workspace Super Admin / Delegated Admin owner.
{{IDP}},2025-03-01 to 2026-02-28,CC1.3,Customers are responsible for establishing responsibilities and procedures to respond to relevant information security incidents pertaining to the use of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered by Incident Response Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC1.4,Customers are responsible for providing the appropriate training to end-users on proper use of the {{IDP}} Application Programming Interfaces and Developer Offerings System consistent with the Acceptable Use Policies and Terms of Service.,AC-04 (Access Control Policy),Mapped,AUP linked in onboarding; confirm Workspace Acceptable Use Policy URL is referenced.
{{IDP}},2025-03-01 to 2026-02-28,CC1.4,Customers are responsible for ensuring that end-users are trained on the organizational policies and procedures relevant to the use of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered in annual security training.
{{IDP}},2025-03-01 to 2026-02-28,CC1.4,Customers should train administrators and end-users on their responsibilities and organizational procedures for identifying handling and responding to security incidents pertaining to the use of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Admin-specific runbook to be added to IR Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC1.4,Customers are responsible for training users on the use and disclosure of passwords used to authenticate to the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-03 (MFA),Mapped,Covered by password / MFA section of security training.
{{IDP}},2025-03-01 to 2026-02-28,CC1.5 / CC5.1,Customers are responsible for considering information security requirements in the deployment configuration and modification of their instance of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Tenant config baseline documented; review annually.
{{IDP}},2025-03-01 to 2026-02-28,CC2.1 / CC2.2,Customers are responsible for defining documenting and making available to users procedures for the operation of their instance of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,User-facing runbooks published internally.
{{IDP}},2025-03-01 to 2026-02-28,CC2.1 / CC2.2,Customers are responsible for identifying and managing the inventory of information assets on the {{IDP}} Application Programming Interfaces and Developer Offerings System.,Information Classification,Mapped,Asset Inventory includes Workspace as a system; specific data classification per Information Classification Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC2.3 / CC7.1 / CC7.2 / CC7.3,Customers should contact {{IDP}} if there are any issues with service availability or security including but not limited to unauthorized use of their password or account compromise of data and security events.,AC-04 (Access Control Policy),Mapped,IR Policy references {{IDP}} support escalation path.
{{IDP}},2025-03-01 to 2026-02-28,CC4.1 / CC5.3 / CC8.1,Customers are responsible for ensuring any application software which they deploy onto the {{IDP}} Application Programming Interfaces and Developer Offerings System follows their specific software change management policies and procedures.,AC-04 (Access Control Policy),Mapped,Covered by Change Management Policy; applies to Apps Script and Marketplace apps.
{{IDP}},2025-03-01 to 2026-02-28,CC4.1 / CC5.3 / CC8.1,Customers are responsible for periodically reviewing the configuration of the {{IDP}} Application Programming Interfaces and Developer Offerings System to help ensure it is consistent with their policies and procedures.,AC-04 (Access Control Policy),Gap,Add annual Workspace tenant config review to compliance calendar.
{{IDP}},2025-03-01 to 2026-02-28,CC5.3,Customers are responsible for establishing organizational policies and procedures for the use or integration of third-party services.,AC-04 (Access Control Policy),Mapped,Covered by Vendor Management Policy and Marketplace app review.
{{IDP}},2025-03-01 to 2026-02-28,CC5.3,Customers are responsible for reviewing the information security policies and the security capabilities in the {{IDP}} Application Programming Interfaces and Developer Offerings System to determine their applicability and modify their internal controls as appropriate.,AC-04 (Access Control Policy),Mapped,Annual vendor review covers this.
{{IDP}},2025-03-01 to 2026-02-28,CC5.3,Customers are responsible for defining and maintaining policies and procedures governing the customer's administration of access to the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Access Control Policy covers Workspace admin access.
{{IDP}},2025-03-01 to 2026-02-28,CC5.3 / P6.1 / P6.4,Customers are responsible for establishing documented policies and procedures for the transfer and sharing of information within their organization and with third-party entities.,Information Classification,Mapped,Covered by Information Classification Policy; configure domain-level Drive sharing restrictions in Admin Console.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1,Customers are responsible for provisioning maintaining monitoring and disabling end users' access in accordance with their internal access management policies.,AC-07 (provisioning) / AC-08 (offboarding),Mapped,Covered by onboarding/offboarding runbooks.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for provisioning service availability user roles and sharing permissions within the {{IDP}} Application Programming Interfaces and Developer Offerings System consistent with customer organizational policies.,AC-07 (provisioning),Mapped,Role assignments documented in Access Control Matrix.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for implementing secure log-on procedures to access the {{IDP}} Application Programming Interfaces and Developer Offerings System consistent with customer access management policies.,AC-03 (MFA),Mapped,Enforce 2SV with hardware/passkey via Admin Console.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for provisioning maintaining and disabling end users' access in accordance with customer access management policies.,AC-07 (provisioning) / AC-08 (offboarding),Mapped,Duplicate of CC6.1 row above; tracked in onboarding/offboarding runbook.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for reviewing users' access rights periodically consistent with customer organizational policies to mitigate the risk of inappropriate access.,AC-04 (Access Control Policy),Gap,Schedule semi-annual access review of Workspace roles in compliance calendar.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for enabling and enforcing the use of two-step verification on privileged administrator accounts.,AC-03 (MFA),Mapped,Critical: enforce hardware-key 2SV on all Super Admin and Delegated Admin accounts; verify in Admin Console.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for establishing procedures to allocate the initial password to access the {{IDP}} Application Programming Interfaces and Developer Offerings System to end-users when {{IDP}} password authentication is used.,AC-07 (provisioning),Mapped,Covered by onboarding runbook; new-hire receives temp password via secure channel and 2SV is required on first login.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for configuring third party Marketplace apps permissions in the {{IDP}} Services consistent with their policies.,AC-04 (Access Control Policy),Gap,Set Marketplace to admin-approved-only; document allowlist review cadence.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for restricting access to and monitoring the use of Application Programming Interfaces (APIs) available in the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Gap,Review OAuth scopes and API access in Admin Console; restrict to admin-approved apps.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for configuring domain settings related to integration with other systems within the customer's environment consistent with customer policies.,AC-04 (Access Control Policy),Mapped,SAML/SSO and SPF/DKIM/DMARC documented in tenant baseline.
{{IDP}},2025-03-01 to 2026-02-28,CC6.1 / CC6.2 / CC6.3,Customers are responsible for ensuring that user data is exported and deleted from the {{IDP}} Application Programming Interfaces and Developer Offerings System before or within a reasonable amount of time after termination.,AC-08 (offboarding),Mapped,Add Takeout / Vault hold step to offboarding runbook with defined SLA.
{{IDP}},2025-03-01 to 2026-02-28,CC6.7 / CC6.8,Customers are responsible for ensuring appropriate physical security controls over all devices that access the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered by Asset Management / Device policy.
{{IDP}},2025-03-01 to 2026-02-28,CC6.7 / CC6.8,Customers are responsible for ensuring any devices that access the {{IDP}} Application Programming Interfaces and Developer Offerings System or contain customer data are properly handled secured and transported as defined by the products requirements.,AC-04 (Access Control Policy),Mapped,Covered by Device / Endpoint policy; MDM enrollment required.
{{IDP}},2025-03-01 to 2026-02-28,CC7.1,Customers are responsible for configuring the {{IDP}} Application Programming Interfaces and Developer Offerings System mobile device options consistent with customer policies and procedures.,AC-04 (Access Control Policy),Mapped,Configure {{IDP}} MDM / Endpoint Verification per device policy.
{{IDP}},2025-03-01 to 2026-02-28,CC7.1 / CC7.2 / CC7.3,Customers are responsible for enabling logging and monitoring functionalities to detect administrator activity customer support activity security events system errors and data deletions to support customer incident management processes.,AC-04 (Access Control Policy),Gap,Export Admin / Login / Drive / OAuth audit logs to Cloud Logging or SIEM; align retention to Logging Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC7.1 / P7.1,Customers are responsible for considering information security requirements in the deployment configuration and modification of their instance of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Tenant baseline documented; duplicate of CC1.5.
{{IDP}},2025-03-01 to 2026-02-28,CC7.1 / P7.1,Customers are responsible for establishing responsibilities and procedures to respond to relevant information security incidents pertaining to the use of the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered by Incident Response Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC8.1,Customers are responsible for ensuring that individuals creating and/or updating profiles or changing the product configurations are authorized.,AC-04 (Access Control Policy),Mapped,Admin Console role-based access; covered by Access Control Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC8.1,Customers are responsible for reviewing and testing features builds and product releases including Application Programming Interfaces (APIs) to evaluate their impact prior to deploying into production environments as applicable.,AC-04 (Access Control Policy),Mapped,Release Notes monitored; applies if customer deploys Apps Script in production.
{{IDP}},2025-03-01 to 2026-02-28,CC8.1,Customers are responsible for configuring test and/or development environments in their instance of the {{IDP}} Application Programming Interfaces and Developer Offerings System as applicable and restricting access to data in these environments.,AC-04 (Access Control Policy),N/A,No separate Workspace dev/test tenant.
{{IDP}},2025-03-01 to 2026-02-28,CC9.1 / CC9.2,Customers are responsible for ensuring they have business recovery and backup procedures over their non-{{IDP}} managed information systems that access the {{IDP}} Application Programming Interfaces and Developer Offerings System.,AC-04 (Access Control Policy),Mapped,Covered by BCP/DR Policy.
{{IDP}},2025-03-01 to 2026-02-28,CC9.1 / CC9.2,Customers are responsible for developing and maintaining disaster recovery and business continuity plans for their non-{{IDP}} managed business systems.,AC-04 (Access Control Policy),Mapped,Covered by BCP/DR Policy.
{{VCS}},2025-04-01 to 2025-09-30,"CC 6.1, CC 6.2",Enabling SAML for their Enterprise Cloud accounts.,Access Control Policy §2 (Identity Management); AC-04,Pending,"Confirm {{VCS}} Org SAML SSO is configured and bound to {{IDP}} IdP. Without SAML, MFA still flows through Workspace via OAuth but identity is not centrally managed."
{{VCS}},2025-04-01 to 2025-09-30,"CC 6.1, CC 6.2, CC 6.3",Enabling two-factor authentication and ensuring members and collaborators require two-factor authentication; this includes the implementation and management of personal access tokens.,AC-03 (MFA); Access Control Policy §7 (Service Accounts and API Keys),Pending,Verify Org → Settings → Authentication Security → require 2FA. Inventory PATs in Access Control Matrix; prefer fine-grained PATs with expiry over classic PATs.
{{VCS}},2025-04-01 to 2025-09-30,"CC 8.1, CC 5.3","Administering and configuring repositories, including permissions, enabling required reviews for pull requests, and enabling required status checks before merging.",Change Management Policy; CM-04 (PR approvals),Pending,"Verify branch protection on main + release branches: required reviewers, required status checks, linear history. Map to CM-XX evidence."
{{VCS}},2025-04-01 to 2025-09-30,"CC 6.1, CC 7.1, CC 8.1",Securing configuration of {{VCS}} CI/pipelines (see your {{VCS}} provider's CI security-hardening guide).,Secure Development Practices; Access Control Policy §7,Pending,Pin pipeline action/step versions to commit SHAs (not tags); restrict the CI job token's permissions; prefer OIDC federation to {{CLOUD_PROVIDER}} over long-lived CI secrets.
{{VCS}},2025-04-01 to 2025-09-30,"CC 6.1, CC 6.3","Manage user provisioning and deprovisioning (org members, outside collaborators).","AC-07 (provisioning), AC-08 (offboarding), Onboarding/Offboarding Checklists",Pending,Supports CUEC #1 (SAML)/#2 (2FA). {{VCS}} is in the Access Control Matrix; departures must remove org membership and revoke PATs.
{{VCS}},2025-04-01 to 2025-09-30,CC 7.1,Enable secret scanning and push protection across repositories.,Secure Development Practices; VM-04,Pending,Supports CUEC #3 (repo configuration). {{VCS}} Advanced Security or built-in scanning depending on plan.
{{VCS}},2025-04-01 to 2025-09-30,CC 7.1,Enable Dependabot alerts and security updates org-wide.,VM-02 (dependency scanning); Patch Management Policy,Pending,Supports CUEC #3. Alerts triaged per Patch Management Policy.
{{VCS}},2025-04-01 to 2025-09-30,"CC 7.2, CC 7.3",Review {{VCS}} audit log periodically; consider streaming to centralized log / SIEM.,IR Policy §1; Logging & Monitoring,Pending,Supports CUEC #3. Audit log streaming requires Enterprise tier.
{{VCS}},2025-04-01 to 2025-09-30,"CC 6.1, CC 5.1",Manage repository visibility (private vs public) and forking restrictions.,Information Classification Policy,Pending,Supports CUEC #3. Default private; restrict forks for repos with Restricted classification.
{{VCS}},2025-04-01 to 2025-09-30,CC 2.3,Report security issues with {{VCS}} services to {{VCS}} Support / Security Advisory channels.,IR Policy §3 (External reporting),Pending,Document {{VCS}} security contact and status page in IR runbook.
